pair,df,p,idk
AVAXUSDTM-PEOPLEUSDTM,-0.8601747845901909,0.8008044679568095,7
AVAXUSDTM-ARPAUSDTM,-0.6197052460891045,0.8664669952010842,10
AVAXUSDTM-DENTUSDTM,-1.2590148217444017,0.6477084056417665,5
AVAXUSDTM-APEUSDTM,-2.494737939170398,0.11675989634422573,18
AVAXUSDTM-TLMUSDTM,-0.6052236311029795,0.8697973262651636,8
AVAXUSDTM-FTMUSDTM,-1.88990583885563,0.336824521125084,8
AVAXUSDTM-XRPUSDTM,-1.540781162886983,0.5132497580307934,18
AVAXUSDTM-VRAUSDTM,-1.419554998641987,0.5728661363149957,9
AVAXUSDTM-BNBUSDTM,-1.6714953695808157,0.4458555043653547,8
AVAXUSDTM-BANDUSDTM,-1.0738270923957367,0.725395722325018,8
AVAXUSDTM-JASMYUSDTM,-0.7705382523361162,0.827623440721317,4
AVAXUSDTM-CELRUSDTM,-0.34877018672904814,0.9183073664811838,4
AVAXUSDTM-SLPUSDTM,-1.1613952969591101,0.6899782361835161,7
AVAXUSDTM-ONEUSDTM,-1.3087703568375122,0.6251503737431361,7
AVAXUSDTM-ZECUSDTM,-2.0597558181902773,0.2610017079129411,7
AVAXUSDTM-ETHUSDTM,-1.578349568675263,0.4944594338541481,8
AVAXUSDTM-MANAUSDTM,-1.428282950407357,0.5686443449765576,10
AVAXUSDTM-1INCHUSDTM,-2.2277070672438675,0.19634348862705908,6
AVAXUSDTM-ONTUSDTM,-1.481699167578673,0.542544294892675,8
AVAXUSDTM-XBTUSDTM,-1.486657388785795,0.5401011100669129,8
AVAXUSDTM-SRMUSDTM,-2.01432733520242,0.28032660967587664,4
AVAXUSDTM-VETUSDTM,-0.8349852328152156,0.8086288413196807,8
AVAXUSDTM-EGLDUSDTM,-1.3696877250002446,0.5967188764535818,8
AVAXUSDTM-MKRUSDTM,-1.6731706444910528,0.4449860675520365,8
AVAXUSDTM-BCHUSDTM,-1.4054596809188669,0.5796558980164235,7
AVAXUSDTM-YGGUSDTM,-1.712960387344418,0.4244475702615909,10
AVAXUSDTM-SNXUSDTM,-2.1118422825815197,0.23977949997976372,8
AVAXUSDTM-LRCUSDTM,-0.4673078237239582,0.898239821518485,12
AVAXUSDTM-AGLDUSDTM,-0.8851373359930891,0.7928274954926615,11
AVAXUSDTM-FLOWUSDTM,-1.7656774655388594,0.3976300326201463,5
AVAXUSDTM-EOSUSDTM,-1.368466025564569,0.5972970977192464,5
AVAXUSDTM-RVNUSDTM,-1.078853298829513,0.7234308774500962,8
AVAXUSDTM-CHZUSDTM,-1.7318372485456213,0.4147880948599932,5
AVAXUSDTM-QTUMUSDTM,-0.12668760306834326,0.9467146101825775,5
AVAXUSDTM-ICPUSDTM,-1.2429778000894247,0.6548400611724254,1
AVAXUSDTM-ALICEUSDTM,-1.204449725811218,0.671678629006188,5
AVAXUSDTM-LINAUSDTM,-1.5698571860024222,0.4987151900104471,5
AVAXUSDTM-DOTUSDM,-1.354570479101642,0.6038516098735263,5
AVAXUSDTM-WAVESUSDTM,-3.1727182240962963,0.02161916887601675,11
AVAXUSDTM-LTCUSDTM,-1.500947077027159,0.5330427815268318,8
AVAXUSDTM-CTSIUSDTM,-1.2115192854800545,0.66862087993981,8
AVAXUSDTM-LUNAUSDTM,-1.457002196843488,0.5546644861662001,14
AVAXUSDTM-CROUSDTM,-1.41698152701843,0.5741084305247369,8
AVAXUSDTM-TRXUSDTM,-1.6604674715787906,0.4515872110364395,8
AVAXUSDTM-IOTXUSDTM,-1.125407302699171,0.7048341613421983,8
AVAXUSDTM-FILUSDTM,-1.8037301996000028,0.37861133202110864,4
AVAXUSDTM-DGBUSDTM,-1.077680585967582,0.7238900721539477,10
AVAXUSDTM-ADAUSDTM,0.08171168898897857,0.9647900555362041,10
AVAXUSDTM-GALAUSDTM,-1.5369575530096553,0.5151562420863652,12
AVAXUSDTM-ENSUSDTM,-1.4883597880449448,0.5392615257284133,8
AVAXUSDTM-AAVEUSDTM,-0.7046353312004319,0.8455452263483569,15
AVAXUSDTM-ATOMUSDTM,-1.3903044685090413,0.5869153506902332,6
AVAXUSDTM-SUSHIUSDTM,-1.6330433484834381,0.46589810804546705,5
AVAXUSDTM-SXPUSDTM,-1.1530446102949667,0.6934618295060239,5
AVAXUSDTM-ROSEUSDTM,-0.9725438965561207,0.763146123446174,10
AVAXUSDTM-WAXPUSDTM,-1.566877883585197,0.5002071850221774,3
AVAXUSDTM-API3USDTM,-2.3558208458845575,0.1545956985172356,5
AVAXUSDTM-BATUSDTM,-1.2703609579724857,0.6426208048283594,14
AVAXUSDTM-RNDRUSDTM,-1.7626027064307486,0.39918001546264353,8
AVAXUSDTM-DYDXUSDTM,-1.5137023494285402,0.5267224214692717,11
AVAXUSDTM-AXSUSDTM,0.9778259018936529,0.9940263879369727,13
AVAXUSDTM-BSVUSDTM,-1.6640185464728194,0.4497399910028755,4
AVAXUSDTM-CRVUSDTM,-1.6064000029086718,0.48037782350234615,8
AVAXUSDTM-COMPUSDTM,-1.1717213037871967,0.6856406938964472,18
AVAXUSDTM-XTZUSDTM,-1.622448595001993,0.4714458279460332,8
AVAXUSDTM-KNCUSDTM,-1.527529534521913,0.5198515928411739,11
AVAXUSDTM-HBARUSDTM,-1.6613932132529006,0.45110551352129463,8
AVAXUSDTM-THETAUSDTM,-1.5263093056865649,0.5204586915739389,5
AVAXUSDTM-XMRUSDTM,-1.6248625062749913,0.4701810068551103,11
AVAXUSDTM-OCEANUSDTM,-1.0094973021044356,0.7497846364194933,11
AVAXUSDTM-DASHUSDTM,-0.7083900405590675,0.8445643423923929,5
AVAXUSDTM-MIRUSDTM,-1.51521181402991,0.5259733008016858,12
AVAXUSDTM-CHRUSDTM,-0.8272825952369668,0.8109763711957158,10
AVAXUSDTM-GRTUSDTM,-1.476449004809245,0.5451278531577681,7
AVAXUSDTM-LINKUSDTM,-1.3688753979394725,0.5971033793799798,8
